"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"13430",55556,"Security","TX LFG Energy, LP","56772","TX","Montgomery",3.4,20399,68.489793177545
"13432",55557,"Wilmington Hydrogen Plant","Air Products & Chemicals Inc","991","CA","Los Angeles",31.9,199063,71.2353816864917
"13433",55558,"Combined Locks Energy Center","Appleton Coated LLC","744","WI","Outagamie",66.5,288118,49.4589212757922
"13435",55560,"FPL Energy Vansycle LLC (WA)","FPL Energy Vansycle LLC","6607","WA","Walla Walla",176.9,383995,24.7795622736577
"13436",55561,"Tsar Nicholas LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4008,24.0807498197549
"13437",55562,"Sun River LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4308,25.8832011535689
"13438",55563,"Julia Hills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,3919,23.5460225907234
"13439",55564,"Jessica Mills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,3905,23.4619081951454
"13440",55565,"Jack River LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4223,25.3725066089882
"13441",55566,"Autumn Hills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,3848,23.1194424417207
"13442",55567,"Winters Spawn LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,5156,30.9781302571497
"13443",55568,"Twin Lake Hills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4766,28.6349435231915
"13444",55569,"Spartan Hills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,5190,31.182408074982
"13445",55570,"Soliloquoy Ridge LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4837,29.0615236721942
"13446",55571,"Ruthton Ridge LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,5349,32.1377072819034
"13447",55572,"Hope Creek LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4507,27.0788272049988
"13448",55573,"Hadley Ridge LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,5150,30.9420812304734
"13449",55574,"Florence Hills LLC","CHI Operations Inc","54725","MN","Lincoln",1.9,4972,29.8726267724105
"13450",55576,"Agassiz Beach LLC","CHI Operations Inc","54725","MN","Clay",1.9,4355,26.1655851958664
"13451",55579,"Llano Estacado Wind Ranch","Llano Estacado Wind Ranch","62136","TX","Carson",80,113650,16.2171803652968
"13452",55581,"King Mountain Wind Ranch 1","FPL Energy Upton Wind LP","6354","TX","Upton",278,312760,12.8428763838244
"13453",55589,"GRS Fall River","Gas Recovery Systems Inc","25049","MA","Bristol",5.3,20389,43.9153097268889
"13454",55596,"GRS Arbor Hills","Gas Recovery Systems Inc","25049","MI","Washtenaw",30.3,124161,46.7776572177766
"13459",55597,"GRS C&C","Gas Recovery Systems Inc","25049","MI","Calhoun",5.7,28477,57.0315629255788
"13463",55598,"GRS Pine Bend","Pine Bend LLC","57247","MN","Dakota",16.6,9217,6.33836716729933
"13466",55599,"GRS CMS","Gas Recovery Systems Inc","25049","NC","Cabarrus",5.3,25701,55.3566813130008
"13467",55600,"Binghamton Cogen","City of Binghamton","61469","NY","Broome",47.7,3544,0.848147190871409
"13468",55601,"Prima Plant","MM Prima Deshecha Energy LLC","57250","CA","Orange",6,45616,86.7884322678843
"13470",55602,"MM San Diego-North City","MM San Diego Energy-North City","57235","CA","San Diego",3.6,28974,91.8759512937595
"13474",55603,"Tajiguas Plant","MM Tajiguas Energy LLC","57251","CA","Santa Barbara",3,24673,93.8850837138508
"13475",55607,"Foote Creek I","PacifiCorp","14354","WY","Carbon",41.4,133413,36.7869432863477
"13476",55608,"Foote Creek II","Terra-Gen Operating Co-Wind","2770","WY","Albany",1.8,5929,37.601471334348
"13477",55609,"Foote Creek III","Terra-Gen Operating Co-Wind","2770","WY","Albany",24.8,71045,32.7022573280306
"13478",55610,"Foote Creek IV","Terra-Gen Operating Co-Wind","2770","WY","Carbon",16.8,52236,35.4941291585127
"13479",55618,"Monmouth Landfill Gas to Energy","Monmouth Energy Inc","12773","NJ","Monmouth",9.8,28035,32.6565557729941
"13481",55619,"Watchtower Educational Center","Watchtower Bible & Tract Soc-NY","20238","NY","Putnam",2.1,0,0
"13484",55620,"Perryville Power Station","Entergy Louisiana LLC","11241","LA","Ouachita",824.1,3827526,53.0193170465747
"13488",55622,"West Valley Generation Project","Utah Municipal Power Agency","24431","UT","Salt Lake",217,215130,11.3171516949688
"13493",55625,"Creed Energy Center","Creed Energy Center LLC","49971","CA","Solano",47,12968,3.14971339745458
"13494",55626,"Lambie Energy Center","Gilroy Energy Center LLC","49972","CA","Solano",47,13299,3.2301078402798
"13495",55627,"Goose Haven Energy Center","Goose Haven Energy Center","49970","CA","Solano",47,12447,3.0231710871466
"13496",55640,"University Park North","LSP University Park LLC","56928","IL","Will",726,631348,9.92722995836321
"13508",55641,"Riverside Energy Center","Wisconsin Power & Light Co","20856","WI","Rock",674.9,2839949,48.0360188656395
"13511",55645,"Blue Spruce Energy Center","Public Service Co of Colorado","15466","CO","Adams",397.8,210818,6.04976916419302
"13513",55650,"Plains End","Plains End Operating Services LLC","15142","CO","Jefferson",114,6672,0.668108627733718
"13533",55651,"Spring Creek Energy Center","Westar Energy Inc","22500","OK","Logan",338,201285,6.7981478479371
"13537",55654,"Chambersburg","Chambersburg Energy, LLC","61320","PA","Franklin",87.6,157853,20.5704895644378
"13539",55655,"WFEC GenCo LLC","Western Farmers Elec Coop, Inc","20447","OK","Caddo",90,209742,26.603500761035
"13541",55656,"Pastoria Energy Facility, LLC","Calpine Corp - Pastoria Energy Center","2820","CA","Kern",779,4325910,63.3922134102379
"13546",55661,"Essential Power Newington LLC","Essential Power Newington LLC","13538","NH","Rockingham",605.5,804869,15.1742399390669
"13549",55662,"Chehalis Generating Facility","PacifiCorp","14354","WA","Lewis",698,1741969,28.4892419306302
"13552",55664,"Harrison County Power Project","East Texas Electric Coop, Inc","39347","TX","Harrison",570,1572405,31.4909276616198
"13555",55667,"Lower Mount Bethel Energy","Lower Mount Bethel Energy LLC","11275","PA","Northampton",651.6,3963848,69.4435334448957
"13558",55672,"AL Sandersville LLC","SEPG Operating Services, LLC ALS","59417","GA","Washington",692,73109,1.20603703117164
"13566",55684,"Flambeau Crowley Rapids Project","Renewable World Energies LLC","58149","WI","Price",1.5,6011,45.7458143074581
"13568",55685,"Flambeau Lower Project","Renewable World Energies LLC","58149","WI","Price",1.2,6327,60.1883561643835
"13571",55687,"Higgins Generating Station","Nevada Power Co","13407","NV","Clark",688.4,2180351,36.156088899148
"13574",55690,"Bethlehem Power Plant","Calpine Bethlehem LLC","56607","PA","Northampton",1153,4159649,41.1835018435132
"13582",55694,"Quantum Choctaw Power LLC","Tennessee Valley Authority","18642","MS","Choctaw",850.5,3116556,41.8308327897369
"13585",55698,"Hanford Energy Park Peaker","MRP San Joaquin Energy LLC.","7724","CA","Kings",92.2,15605,1.9320961974663
"13587",55699,"Bayswater Peaking Facility LLC","Bayswater Peaking Facility LLC","1268","NY","Queens",60.5,140751,26.5577946337598
"13588",55700,"Mint Farm Generating Station","Puget Sound Energy Inc","15500","WA","Cowlitz",319,1363352,48.7880219292595
"13590",55701,"Fremont Energy Center","American Mun Power-Ohio, Inc","40577","OH","Sandusky",739.5,2225286,34.3513295729251
"13593",55706,"Choctaw County","NRG Wholesale Generation LP","54885","MS","Choctaw",899,5070830,64.3895297159198
"13597",55708,"Nacogdoches Power","Southern Power Co","17650","TX","Nacogdoches",114,157673,15.788772730914
