"","PlantID","PlantName","OperatorName","OperatorID","State","County","NameplateCapacityMWSum","NetGenerationMWSum","CapacityFactor"
"7711",7270,"Paris (WI)","Wisconsin Electric Power Co","20847","WI","Kenosha",381.6,89686,2.68294755080746
"7715",7277,"Lincoln Combustion","Duke Energy Carolinas, LLC","5416","NC","Lincoln",1753.6,82484,0.536951513182015
"7731",7279,"O'Shaughnessy Hydro","City of Columbus - (OH)","4065","OH","Delaware",5.2,0,0
"7733",7281,"Gardner Energy Center","City of Gardner - (KS)","6949","KS","Johnson",39.2,35,0.0101924331376386
"7735",7283,"Paragould Turbine","Paragould Light & Water Comm","14446","AR","Greene",13.9,47,0.0385992575802372
"7741",7294,"Central Energy Plant","Reedy Creek Improvement Dist","15776","FL","Orange",70,0,0
"7774",7318,"Van Sant Station","NAES Corporation - (DE)","54899","DE","Kent",45.1,6817,1.72549079164515
"7777",7335,"Richmond","Indiana Municipal Power Agency","9234","IN","Wayne",82.8,14825,2.04390289634483
"7779",7336,"Anderson","Indiana Municipal Power Agency","9234","IN","Madison",168.7,7094,0.480033996205201
"7782",7337,"Florence","Omya Inc","19794","VT","Rutland",9.2,0,0
"7785",7339,"Wellington 2","City of Wellington - (KS)","20315","KS","Sumner",20,1810,1.03310502283105
"7788",7348,"Robins","Georgia Power Co","7140","GA","Houston",183.8,29263,1.81747829932277
"7809",7392,"Poplar Bluff Generating Station","City of Poplar Bluff - (MO)","15229","MO","Butler",34.1,1812,0.606596231872414
"7814",7393,"Lakin Municipal","City of Lakin - (KS)","10628","KS","Kearny",4.4,0,0
"7818",7396,"Front Street","City of Chicopee - (MA)","3477","MA","Hampden",8.1,844,1.18946953041321
"7821",7397,"Falling Spring","Borough of Chambersburg","3329","PA","Franklin",7.2,1737,2.75399543378995
"7824",7398,"Water Street Station","City of Bay City - (MI)","1366","MI","Bay",12.6,781,0.70758135826629
"7826",7399,"Henry Station","City of Bay City - (MI)","1366","MI","Bay",15.4,1312,0.972543438296863
"7828",7400,"Salisbury City of","City of Salisbury - (MO)","16560","MO","Chariton",6.4,0,0
"7832",7405,"Shelbina Power #1","City of Shelbina - (MO)","17035","MO","Shelby",4.6,8,0.0198530871550526
"7834",7406,"Shelbina Power #2","City of Shelbina - (MO)","17035","MO","Shelby",6.6,38,0.0657257506572575
"7838",7408,"Payson","Payson City Corporation","14600","UT","Utah",9.7,4,0.00470743303676505
"7846",7414,"Thorne Bay Plant","Alaska Power and Telephone Co","219","AK","Prince of Wales Ketchikan",1,77,0.878995433789954
"7848",7415,"Lakefield Utilities","City of Lakefield - (MN)","10622","MN","Jackson",3.4,23,0.0772226698898738
"7850",7425,"Interstate","City of Springfield - (IL)","17828","IL","Sangamon",138.6,30355,2.5001317809537
"7853",7429,"Edenton Generators","Town of Edenton - (NC)","6710","NC","Chowan",2.4,95,0.451864535768645
"7856",7432,"Oxford (KS)","City of Oxford - (KS)","14276","KS","Sumner",5.1,0,0
"7869",7438,"Church Street Plant","City of Manassas - (VA)","11560","VA","Prince William",4.3,59,0.156631623659339
"7872",7439,"Godwin Drive Plant","City of Manassas - (VA)","11560","VA","Prince William",6.3,96,0.173950858882366
"7876",7440,"VMEA 1 Credit Gen","City of Manassas - (VA)","11560","VA","Prince William",13.2,185,0.159990314099903
"7884",7441,"VMEA Peaking Gen","City of Manassas - (VA)","11560","VA","Prince William",6.4,83,0.148045091324201
"7888",7447,"Pratt 2","City of Pratt- (KS)","15321","KS","Pratt",16,502,0.358162100456621
"7890",7449,"Combustion Turbine Project No 2","Northern California Power Agny","40613","CA","San Joaquin",50,11838,2.7027397260274
"7891",7450,"Alameda","Northern California Power Agny","40613","CA","Alameda",54.8,9563,1.99209245742092
"7893",7451,"Lodi","Northern California Power Agny","40613","CA","San Joaquin",27.4,3492,1.45485451454855
"7894",7452,"Roseville","City of Roseville - (CA)","16295","CA","Placer",54.8,2955,0.615563443655634
"7910",7469,"Madison Utilities","City of Madison - (NE)","11481","NE","Madison",5.8,23,0.0452684616595812
"7914",7470,"Marceline","City of Marceline - (MO)","11626","MO","Linn",8,9,0.0128424657534247
"7922",7480,"Rowesville Rd Plant","City of Orangeburg - (SC)","14164","SC","Orangeburg",9.6,13,0.0154585235920852
"7924",7481,"City Light & Water","City of Blue Hill - (NE)","20848","NE","Webster",1.3,6,0.0526870389884088
"7966",7497,"Croswell","City of Croswell - (MI)","4562","MI","Sanilac",5.1,0,0
"7979",7503,"Unalaska Power Module","City of Unalaska - (AK)","19454","AK","Aleutians West",1.1,201,2.08592777085928
"7982",7505,"Fergus Control Ctr","Otter Tail Power Co","14232","MN","Otter Tail",2,21,0.11986301369863
"7990",7515,"McPherson 3","City of McPherson - (KS)","12208","KS","McPherson",115.6,13016,1.28533282773222
"8005",7546,"Ponca City","Oklahoma Municipal Power Authority","14077","OK","Kay",134.3,47434,4.03189887017751
"8019",7556,"State Farm","State Farm Insurance","56076","IL","McLean",5.1,22,0.049243441668905
"8024",7584,"Panora","City of Panora - (IA)","14433","IA","GUTHRIE",4.5,78,0.197869101978691
"8031",7593,"El Vado Dam","Los Alamos County","11204","NM","Rio Arriba",8,1598,2.28025114155251
"8034",7603,"Prospect Municipal","American Mun Power-Ohio, Inc","40577","OH","Marion",1.8,0,0
"8047",7690,"Pennsbury","Exelon Power","6035","PA","Bucks",6,140,0.266362252663623
"8080",7719,"Meridian","Tennessee Valley Authority","18642","MS","Lauderdale",9,39,0.0494672754946728
"8089",7723,"Nymans Plant Microgrid","Kodiak Electric Assn Inc","10433","AK","Kodiak Island",10,0,0
"8097",7749,"Essex","Associated Electric Coop, Inc","924","MO","Stoddard",121.2,33318,3.13813915638139
"8100",7754,"Nodaway","Associated Electric Coop, Inc","924","MO","Nodaway",315.6,10988,0.397445468803352
"8108",7758,"South Plant","Waverly Municipal Elec Utility","20214","IA","Bremer",12,75,0.0713470319634703
"8114",7759,"Georgetown","Indianapolis Power & Light Co","9273","IN","Marion",340,127147,4.26896991673382
"8125",7764,"MPC Generating","SEPG Operating Services, LLC MPC","59421","GA","Walton",386.1,18529,0.547832853768927
"8127",7766,"Erie Energy Center","City of Erie - (KS)","5957","KS","Neosho",20,377,0.215182648401826
"8135",7767,"Bloomington Power Plant","City of St George","17874","UT","Washington",10.2,188,0.210403796221685
"8143",7770,"1515 S Caron Road","Rochelle Municipal Utilities","16179","IL","Ogle",4.2,272,0.739291150250054
"8146",7774,"Cleveland Peaking","American Mun Power-Ohio, Inc","40577","OH","Cuyahoga",10.8,707,0.747294097750719
"8152",7775,"Versailles Peaking","American Mun Power-Ohio, Inc","40577","OH","Darke",5.4,250,0.528496533062743
"8155",7776,"Napoleon Peaking","American Mun Power-Ohio, Inc","40577","OH","Henry",5.4,199,0.420683240317943
"8158",7777,"Dover Peaking","American Mun Power-Ohio, Inc","40577","OH","Tuscarawas",10.8,577,0.609884999154406
"8164",7778,"Orrville Peaking","American Mun Power-Ohio, Inc","40577","OH","Wayne",5.4,238,0.503128699475731
"8167",7779,"Bryan Peaking","American Mun Power-Ohio, Inc","40577","OH","Williams",10.8,547,0.578175207170641
"8173",7780,"Jackson Cntr Peaking","American Mun Power-Ohio, Inc","40577","OH","Shelby",1.8,79,0.50101471334348
"8174",7781,"Arcanum Peaking","American Mun Power-Ohio, Inc","40577","OH","Darke",1.8,99,0.627853881278539
"8175",7782,"Hamilton Peaking","American Mun Power-Ohio, Inc","40577","OH","Butler",32,2733,0.974957191780822
"8176",7783,"Bowling Green Peaking","American Mun Power-Ohio, Inc","40577","OH","Wood",32,3592,1.28139269406393
"8183",7791,"Montpelier","American Mun Power-Ohio, Inc","40577","OH","Williams",10.8,526,0.555978352782006
"8189",7795,"Custer Energy Center","Manitowoc Public Utilities","11571","WI","Manitowoc",24.5,1642,0.765073152548691
"8190",7797,"Dominion/Lo Mar","City of Manassas - (VA)","11560","VA","Prince William",19.2,172,0.102264079147641
"8195",7798,"Gateway Gen","City of Manassas - (VA)","11560","VA","Prince William",3.6,37,0.117326230339929
"8211",7810,"Argyle","City of Argyle - (WI)","792","WI","Lafayette",2.3,134,0.665078419694262
"8217",7814,"Webb Forging","Central Electric Power","59159","SC","Union",5.8,40,0.0787277594079673
"8219",7818,"Alsey","Prairie Power, Inc","40307","IL","Scott",173,21066,1.39005463615488
"8231",7824,"Rockwood","Imperial Irrigation District","9216","CA","Imperial",49.8,1092,0.250316333828465
