"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"3095","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G7","807 55221 G7",95189,83.5,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,13.0135619172614
"3096","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G8","807 55221 G8",34689,105,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,3.77136333985649
"3097","Arkansas Electric Coop Corp","Harry L. Oswald","AR","Pulaski",807,55221,"G9","807 55221 G9",76056,105,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,8.26875407697325
"3098","Ennis Power Company LLC","Ennis Power Company LLC","TX","Ellis",5761,55223,"GT1","5761 55223 GT1",1060965,285,"Natural Gas Fired Combined Cycle","NG","OP",5,2002,NA,NA,42.4963950973324
"3099","Ennis Power Company LLC","Ennis Power Company LLC","TX","Ellis",5761,55223,"ST1","5761 55223 ST1",580242,133,"Natural Gas Fired Combined Cycle","NG","OP",5,2002,NA,NA,49.8027603254712
"3100","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"CTG1","2897 55225 CTG1",783860,176,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,50.8418949771689
"3101","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"CTG2","2897 55225 CTG2",772095,176,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,50.0788060398506
"3102","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"CTG3","2897 55225 CTG3",736129,176,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,47.7460175383977
"3103","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"CTG4","2897 55225 CTG4",734698,176,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,47.653201535907
"3104","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"STG1","2897 55225 STG1",999850,255,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,44.760050138777
